Algorithm,File Type,MTF,BWT,Compression Ratio mean,Compression Ratio std,Encoding Speed mean,Encoding Speed std
RLE,bmp,True,True,0.7003393240084306,0.24745162781222982,0.06354548471254991,0.002848832817210633
RLE,bmp,True,False,0.6742366683148312,0.24504252668699378,1.4994934341598267,0.2756015880314278
RLE,bmp,False,True,0.6684412062709795,0.2473735289328096,0.06545868352070269,0.0028452340099482023
RLE,bmp,False,False,0.7995731007381068,0.2941837549667366,6.820732749874795,0.29301411076842565
Huffman,bmp,True,True,0.554963738364948,0.17622357844057868,0.05885502042781561,0.0035982599377763964
Huffman,bmp,True,False,0.5774809680076034,0.18011544771155882,0.5567855963319193,0.15014529357469475
Huffman,bmp,False,True,0.770744644791759,0.21159944936446468,0.05964121005466075,0.0036508410399049844
Huffman,bmp,False,False,0.7682436940904986,0.21163029329393793,0.6129488130969707,0.19715841108934856
LZW,bmp,True,True,0.6327045795198043,0.24909360823623097,0.056740804808220746,0.0049218906926418605
LZW,bmp,True,False,0.6285155223833997,0.2626623502793105,0.4335718039405078,0.17002076122525897
LZW,bmp,False,True,0.7298768405706357,0.3528594675308934,0.057354694714520094,0.005009685336792083
LZW,bmp,False,False,0.8418877027964573,0.4023101635410602,0.46284121937025174,0.2710966530762955
